,symbol,date,iexId,isEnabled,name,type
88,ADC,2018-06-07,86,True,Agree Realty Corporation,cs
89,ADES,2018-06-07,89,True,Advanced Emissions Solutions Inc.,cs
90,ADI,2018-06-07,93,True,Analog Devices Inc.,cs
91,ADM,2018-06-07,96,True,Archer-Daniels-Midland Company,cs
92,ADMA,2018-06-07,9483,True,ADMA Biologics Inc,cs
93,ADMP,2018-06-07,8158,True,Adamis Pharmaceuticals Corporation,cs
94,ADMS,2018-06-07,8476,True,Adamas Pharmaceuticals Inc.,cs
95,ADNT,2018-06-07,11802,True,Adient plc,cs
96,ADOM,2018-06-07,13022,True,ADOMANI Inc.,cs
97,ADP,2018-06-07,98,True,Automatic Data Processing Inc.,cs
98,ADRA,2018-06-07,99,True,Invesco BLDRS Asia 50 ADR Index Fund,et
99,ADRD,2018-06-07,100,True,Invesco BLDRS Developed Markets 100 ADR Index Fund,et
100,ADRE,2018-06-07,101,True,Invesco BLDRS Emerging Markets 50 ADR Index Fund,et
101,ADRO,2018-06-07,9823,True,Aduro Biotech Inc.,cs
102,ADRU,2018-06-07,102,True,Invesco BLDRS Europe Select ADR Index Fund,et
103,ADS,2018-06-07,103,True,Alliance Data Systems Corporation,cs
104,ADSK,2018-06-07,104,True,Autodesk Inc.,cs
105,ADSW,2018-06-07,10650,True,Advanced Disposal Services Inc.,cs
106,ADT,2018-06-07,13952,True,ADT Inc.,cs
107,ADTN,2018-06-07,106,True,ADTRAN Inc.,cs
108,ADUS,2018-06-07,107,True,Addus HomeCare Corporation,cs
109,ADVM,2018-06-07,8910,True,Adverum Biotechnologies Inc.,cs
110,ADX,2018-06-07,109,True,Adams Diversified Equity Fund Inc.,cs
111,ADXS,2018-06-07,8016,True,Advaxis Inc.,cs
112,ADXSW,2018-06-07,8017,True,Advaxis Inc. Warrants,N/A
113,ADZ,2018-06-07,110,True,DB Agriculture Short ETN due April 1 2038,et
114,AE,2018-06-07,111,True,Adams Resources & Energy Inc.,cs
115,AEB,2018-06-07,14576,True,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),bo
116,AED,2018-06-07,14577,True,AEGON N.V. Perp. Cap. Securities (Netherlands),bo
117,AEE,2018-06-07,113,True,Ameren Corporation,cs
118,AEF,2018-06-07,1193,True,Aberdeen Emerging Markets Equity Income Fund Inc.,cs
119,AEG,2018-06-07,114,True,AEGON N.V.,cs
120,AEGN,2018-06-07,115,True,Aegion Corp,cs
121,AEH,2018-06-07,14578,True,AEGON N.V. Perp. Cap Secs.,bo
122,AEHR,2018-06-07,117,True,Aehr Test Systems,cs
123,AEIS,2018-06-07,118,True,Advanced Energy Industries Inc.,cs
124,AEL,2018-06-07,119,True,American Equity Investment Life Holding Company,cs
125,AEM,2018-06-07,120,True,Agnico Eagle Mines Limited,cs
126,AEMD,2018-06-07,10300,True,Aethlon Medical Inc.,cs
127,AEO,2018-06-07,121,True,American Eagle Outfitters Inc.,cs
128,AEP,2018-06-07,122,True,American Electric Power Company Inc.,cs
129,AER,2018-06-07,124,True,Aercap Holdings N.V.,cs
130,AERI,2018-06-07,8039,True,Aerie Pharmaceuticals Inc.,cs
131,AES,2018-06-07,126,True,The AES Corporation,cs
132,AET,2018-06-07,128,True,Aetna Inc.,cs
133,AETI,2018-06-07,129,True,American Electric Technologies Inc.,cs
134,AEY,2018-06-07,130,True,ADDvantage Technologies Group Inc.,cs
135,AEZS,2018-06-07,131,True,Aeterna Zentaris Inc.,cs
136,AFB,2018-06-07,136,True,AllianceBernstein National Municipal Income Fund Inc,cs
137,AFC,2018-06-07,137,True,Allied Capital Corporation 6.875% Notes due April 15 2047,bo
138,AFG,2018-06-07,141,True,American Financial Group Inc.,cs
139,AFGE,2018-06-07,9316,True,,N/A
140,AFGH,2018-06-07,10869,True,,N/A
141,AFH,2018-06-07,142,True,Atlas Financial Holdings Inc.,cs
142,AFHBL,2018-06-07,14579,True,Atlas Financial Holdings Inc. 6.625% Senior Unsecured Notes Due 2022,N/A
143,AFI,2018-06-07,11150,True,Armstrong Flooring Inc.,cs
144,AFK,2018-06-07,143,True,VanEck Vectors-Africa Index,et
145,AFL,2018-06-07,144,True,AFLAC Incorporated,cs
146,AFMD,2018-06-07,8902,True,Affimed N.V.,cs
147,AFSI,2018-06-07,150,True,AmTrust Financial Services Inc.,cs
148,AFSI-A,2018-06-07,151,True,AmTrust Financial Services Inc. Preferred Series A,ps
149,AFSI-B,2018-06-07,8938,True,AmTrust Financial Services Inc. Depository Shares Series B,ps
150,AFSI-C,2018-06-07,9301,True,AmTrust Financial Services Inc. Depository Shares Series C,ps
151,AFSI-D,2018-06-07,9860,True,AmTrust Financial Services Inc. Depositary Shares Series D,ps
152,AFSI-E,2018-06-07,11166,True,AmTrust Financial Services Inc. Depositary Shares Series E,ps
153,AFSI-F,2018-06-07,11904,True,AmTrust Financial Services Inc. Depositary Shares Series F,ps
154,AFSS,2018-06-07,10121,True,,N/A
155,AFST,2018-06-07,10558,True,,N/A
156,AFT,2018-06-07,152,True,Apollo Senior Floating Rate Fund Inc.,cs
